Timestamp, FrameID, RTT(us)
1766398806.823604, 274757, 168967
1766398806.826292, 274660, 189883
1766398806.840361, 275102, 170090
1766398806.863287, 275242, 178117
1766398806.892444, 275948, 173595
1766398806.900559, 275494, 198492
1766398806.927928, 276004, 192454
1766398806.932999, 276311, 181584
1766398806.962603, 276652, 192141
1766398806.962651, 276917, 177879
1766398806.981947, 277235, 179209
1766398806.991942, 277337, 173830
1766398807.036990, 277576, 201325
1766398807.061799, 278421, 175621
1766398807.061857, 277830, 208108
1766398807.064387, 278165, 196805
1766398807.115509, 278734, 212816
1766398807.118357, 278935, 199669
1766398807.120583, 279285, 185271
1766398807.145754, 279480, 193589
1766398807.164865, 279674, 196840
1766398807.177101, 279997, 191521
1766398807.196986, 280102, 193465
1766398807.221850, 280477, 202173
1766398807.239274, 280997, 187886
1766398807.258951, 280739, 222463
1766398807.295333, 281442, 209753
1766398807.300333, 281199, 231021
1766398807.329003, 281679, 225926
1766398807.336538, 282327, 201121
1766398807.347260, 282099, 227353
1766398807.371694, 282680, 200847
1766398807.393188, 282419, 239827
1766398807.401952, 282998, 216849
1766398807.423827, 283229, 221101
1766398807.437558, 283486, 218991
1766398807.447604, 283746, 211130
1766398807.484584, 284034, 231611
1766398807.498778, 284341, 229363
1766398807.506397, 284430, 221168
1766398807.540688, 284727, 237789
1766398807.540726, 285096, 226157
1766398807.550647, 285287, 214351
1766398807.585497, 285567, 236871
1766398807.592668, 285934, 222765
1766398807.620245, 286205, 234521
1766398807.632872, 286652, 213520
1766398807.637520, 286228, 235093
1766398807.655226, 286868, 218970
1766398807.657822, 286986, 205081
1766398807.713857, 287502, 228025
1766398807.716454, 287349, 247935
1766398807.746259, 287943, 243907
1766398807.752410, 288155, 233429
1766398807.763617, 288427, 227864
1766398807.780935, 288619, 228972
1766398807.805230, 288832, 236330
1766398807.837603, 289050, 251840
1766398807.839667, 289485, 237576
1766398807.848791, 289679, 230511
1766398807.856206, 289805, 220074
1766398807.892639, 290498, 223157
1766398807.892696, 290213, 240079
1766398807.952088, 291104, 233019
1766398807.952130, 290629, 265552
1766398807.957080, 290843, 254119
1766398807.988837, 291709, 236013
1766398807.989522, 291492, 253352
1766398808.001782, 292002, 231637
1766398808.040357, 292185, 254534
1766398808.066259, 292491, 264003
1766398808.088068, 292825, 268965
1766398808.110264, 292866, 273922
1766398808.148915, 293363, 296267
1766398808.150387, 293465, 281235
1766398808.181065, 293872, 294431
1766398808.191275, 294128, 288007
1766398808.221384, 294573, 285422
1766398808.224933, 294253, 304454
1766398808.269780, 294788, 316511
1766398808.280418, 295570, 277267
1766398808.284909, 295031, 315180
1766398808.297269, 295202, 310284
1766398808.342705, 296125, 307847
1766398808.350551, 295743, 328867
1766398808.353758, 296254, 300134
1766398808.371142, 296618, 297336
1766398808.384139, 296957, 297103
1766398808.429310, 297048, 326227
1766398808.434118, 297335, 314311
1766398808.475437, 297612, 338124
1766398808.488475, 298012, 317904
1766398808.500896, 297830, 347653
1766398808.513447, 298318, 327848
1766398808.542452, 298667, 340449
1766398808.553351, 298807, 333835
1766398808.564010, 299118, 326840
1766398808.601606, 299343, 347696
1766398808.613741, 299700, 343975
1766398808.620819, 299792, 334211
1766398808.651168, 300201, 346526
1766398808.661122, 300352, 342107
1766398808.666142, 300778, 329476
1766398808.678576, 300971, 325529
1766398808.691818, 301107, 321966
1766398808.734580, 301379, 349455
1766398808.754882, 301859, 334039
1766398808.767425, 301723, 364789
1766398808.782319, 302256, 344227
1766398808.799850, 302408, 345627
1766398808.815147, 302759, 343964
1766398808.849366, 303210, 343856
1766398808.853866, 302888, 365981
1766398808.876163, 303719, 344474
1766398808.881192, 303417, 357756
1766398808.894886, 303911, 340324
1766398808.929324, 304247, 358164
1766398808.946320, 304401, 357467
1766398808.951050, 304676, 352810
1766398808.980865, 305104, 359995
1766398809.003459, 305288, 364456
1766398809.033388, 305718, 360642
1766398809.038460, 305584, 383438
1766398809.050450, 306085, 367867
1766398809.050497, 306431, 345970
1766398809.071207, 306657, 350234
1766398809.103149, 306908, 364712
1766398809.112511, 307053, 357065
1766398809.121800, 307249, 356680
1766398809.138385, 307601, 350862
1766398809.155340, 308186, 335535
1766398809.190113, 307838, 384666
1766398809.197389, 308584, 343459
1766398809.200425, 308433, 361974
1766398809.239623, 308869, 369626
1766398809.258282, 309536, 336852
1766398809.260901, 308996, 372707
1766398809.274214, 309419, 369235
1766398809.282070, 309799, 344878
1766398809.292141, 310107, 337572
1766398809.332714, 310734, 343791
1766398809.332758, 310377, 361918
1766398809.347853, 310915, 342946
1766398809.364815, 311251, 343815
1766398809.370234, 311303, 333072
1766398809.382433, 311786, 326397
1766398809.411289, 312059, 340178
1766398809.434961, 312191, 347303
1766398809.439549, 312571, 334982
1766398809.457909, 312607, 335812
1766398809.476048, 313220, 321675
1766398809.496395, 312911, 359687
1766398809.515793, 313552, 344880
1766398809.548896, 313897, 343762
1766398809.556492, 313733, 368261
1766398809.575373, 314470, 337450
1766398809.577568, 314319, 356379
1766398809.607134, 314629, 353335
1766398809.632361, 314940, 361899
1766398809.642174, 315287, 354262
1766398809.662048, 315542, 352593
1766398809.674673, 315834, 353760
1766398809.687560, 316017, 350154
1766398809.699707, 316263, 343526
1766398809.719338, 316450, 349279
1766398809.742379, 316918, 354878
1766398809.783994, 317035, 380474
1766398809.786431, 317389, 366617
1766398809.798563, 317463, 361633
1766398809.798595, 317842, 346294
1766398809.822989, 317993, 353010
1766398809.846483, 318560, 344302
1766398809.854005, 318336, 367872
1766398809.878621, 318892, 358630
1766398809.903903, 319336, 350760
1766398809.911318, 319059, 372762
1766398809.931513, 319822, 343990
1766398809.956384, 319639, 386116
1766398809.978666, 320231, 375442
1766398809.988814, 320402, 369658
1766398809.996346, 320622, 360056
1766398810.045289, 320822, 391704
1766398810.045707, 321046, 376784
1766398810.071466, 321342, 384860
1766398810.071535, 321723, 367688
1766398810.114301, 321855, 394915
1766398810.126481, 322061, 391007
1766398810.126515, 322337, 373907
1766398810.158976, 322629, 389728
1766398810.163100, 322889, 377546
1766398810.188913, 323257, 385351
1766398810.211314, 323547, 391444
1766398810.234248, 323882, 382885
1766398810.236641, 323588, 400373
1766398810.256268, 324163, 387224
1766398810.288561, 324641, 386003
1766398810.302395, 324390, 415445
